Meldedatum,Neue Fallzahlen,Neue Fallzahlen Mittelwert (7 Tage),Neue Fallzahlen Summe (7 Tage),Faelle gesamt,7 Tage Indizdenz
2020-03-06 00:00:00+00:00,1,0,0,1,0.0
2020-03-08 00:00:00+00:00,1,0,0,2,0.0
2020-03-10 00:00:00+00:00,2,0,0,4,0.0
2020-03-11 00:00:00+00:00,2,0,0,6,0.0
2020-03-12 00:00:00+00:00,10,0,0,16,0.0
2020-03-13 00:00:00+00:00,3,0,0,19,0.0
2020-03-14 00:00:00+00:00,12,4,31,31,5.0
2020-03-15 00:00:00+00:00,10,5,40,41,7.0
2020-03-16 00:00:00+00:00,13,7,52,54,9.0
2020-03-17 00:00:00+00:00,19,9,69,73,11.0
2020-03-18 00:00:00+00:00,17,12,84,90,14.0
2020-03-19 00:00:00+00:00,19,13,93,109,15.0
2020-03-20 00:00:00+00:00,20,15,110,129,18.0
2020-03-21 00:00:00+00:00,11,15,109,140,18.0
2020-03-22 00:00:00+00:00,14,16,113,154,19.0
2020-03-23 00:00:00+00:00,19,17,119,173,20.0
2020-03-24 00:00:00+00:00,16,16,116,189,19.0
2020-03-25 00:00:00+00:00,29,18,128,218,21.0
2020-03-26 00:00:00+00:00,22,18,131,240,22.0
2020-03-27 00:00:00+00:00,19,18,130,259,21.0
2020-03-28 00:00:00+00:00,17,19,136,276,22.0
2020-03-29 00:00:00+00:00,12,19,134,288,22.0
2020-03-30 00:00:00+00:00,21,19,136,309,22.0
2020-03-31 00:00:00+00:00,19,19,139,328,23.0
2020-04-01 00:00:00+00:00,18,18,128,346,21.0
2020-04-02 00:00:00+00:00,17,17,123,363,20.0
2020-04-03 00:00:00+00:00,30,19,134,393,22.0
2020-04-04 00:00:00+00:00,17,19,134,410,22.0
2020-04-05 00:00:00+00:00,10,18,132,420,22.0
2020-04-06 00:00:00+00:00,6,16,117,426,19.0
2020-04-07 00:00:00+00:00,11,15,109,437,18.0
2020-04-08 00:00:00+00:00,6,13,97,443,16.0
2020-04-09 00:00:00+00:00,10,12,90,453,15.0
2020-04-10 00:00:00+00:00,11,10,71,464,12.0
2020-04-11 00:00:00+00:00,7,8,61,471,10.0
2020-04-12 00:00:00+00:00,7,8,58,478,10.0
2020-04-13 00:00:00+00:00,3,7,55,481,9.0
2020-04-14 00:00:00+00:00,4,6,48,485,8.0
2020-04-15 00:00:00+00:00,4,6,46,489,8.0
2020-04-16 00:00:00+00:00,17,7,53,506,9.0
2020-04-17 00:00:00+00:00,4,6,46,510,8.0
2020-04-18 00:00:00+00:00,4,6,43,514,7.0
2020-04-19 00:00:00+00:00,5,5,41,519,7.0
2020-04-20 00:00:00+00:00,2,5,40,521,7.0
2020-04-21 00:00:00+00:00,3,5,39,524,6.0
2020-04-22 00:00:00+00:00,5,5,40,529,7.0
2020-04-23 00:00:00+00:00,3,3,26,532,4.0
2020-04-24 00:00:00+00:00,4,3,26,536,4.0
2020-04-25 00:00:00+00:00,7,4,29,543,5.0
2020-04-27 00:00:00+00:00,6,4,30,549,5.0
2020-04-28 00:00:00+00:00,8,5,36,557,6.0
2020-04-29 00:00:00+00:00,3,5,36,560,6.0
2020-04-30 00:00:00+00:00,2,4,33,562,5.0
2020-05-01 00:00:00+00:00,3,4,33,565,5.0
2020-05-02 00:00:00+00:00,2,4,31,567,5.0
2020-05-05 00:00:00+00:00,2,3,26,569,4.0
2020-05-06 00:00:00+00:00,4,3,24,573,4.0
2020-05-07 00:00:00+00:00,4,2,20,577,3.0
2020-05-08 00:00:00+00:00,4,3,21,581,3.0
2020-05-09 00:00:00+00:00,1,2,20,582,3.0
2020-05-10 00:00:00+00:00,1,2,18,583,3.0
2020-05-11 00:00:00+00:00,2,2,18,585,3.0
2020-05-12 00:00:00+00:00,1,2,17,586,3.0
2020-05-13 00:00:00+00:00,2,2,15,588,2.0
2020-05-14 00:00:00+00:00,3,2,14,591,2.0
2020-05-15 00:00:00+00:00,1,1,11,592,2.0
2020-05-26 00:00:00+00:00,1,1,11,593,2.0
2020-05-29 00:00:00+00:00,1,1,11,594,2.0
2020-06-02 00:00:00+00:00,1,1,10,595,2.0
2020-06-16 00:00:00+00:00,1,1,10,596,2.0
2020-06-17 00:00:00+00:00,2,1,10,598,2.0
2020-06-18 00:00:00+00:00,4,1,11,602,2.0
2020-06-19 00:00:00+00:00,5,2,15,607,2.0
2020-06-22 00:00:00+00:00,4,2,18,611,3.0
2020-06-23 00:00:00+00:00,2,2,19,613,3.0
2020-06-29 00:00:00+00:00,3,3,21,616,3.0
2020-06-30 00:00:00+00:00,3,3,23,619,4.0
2020-07-01 00:00:00+00:00,1,3,22,620,4.0
2020-07-02 00:00:00+00:00,1,2,19,621,3.0
2020-07-03 00:00:00+00:00,1,2,15,622,2.0
2020-07-06 00:00:00+00:00,4,2,15,626,2.0
2020-07-07 00:00:00+00:00,1,2,14,627,2.0
2020-07-09 00:00:00+00:00,3,2,14,630,2.0
2020-07-15 00:00:00+00:00,1,1,12,631,2.0
2020-07-16 00:00:00+00:00,1,1,12,632,2.0
2020-07-17 00:00:00+00:00,1,1,12,633,2.0
2020-07-20 00:00:00+00:00,9,2,20,642,3.0
2020-07-22 00:00:00+00:00,1,2,17,643,3.0
2020-07-23 00:00:00+00:00,4,2,20,647,3.0
2020-07-27 00:00:00+00:00,3,2,20,650,3.0
2020-08-03 00:00:00+00:00,5,3,24,655,4.0
2020-08-05 00:00:00+00:00,4,3,27,659,4.0
2020-08-06 00:00:00+00:00,4,4,30,663,5.0
2020-08-07 00:00:00+00:00,3,3,24,666,4.0
2020-08-10 00:00:00+00:00,3,3,26,669,4.0
2020-08-11 00:00:00+00:00,2,3,24,671,4.0
2020-08-12 00:00:00+00:00,3,3,24,674,4.0
2020-08-13 00:00:00+00:00,4,3,23,678,4.0
2020-08-14 00:00:00+00:00,2,3,21,680,3.0
2020-08-17 00:00:00+00:00,7,3,24,687,4.0
2020-08-18 00:00:00+00:00,6,3,27,693,4.0
2020-08-19 00:00:00+00:00,5,4,29,698,5.0
2020-08-20 00:00:00+00:00,4,4,31,702,5.0
2020-08-21 00:00:00+00:00,5,4,33,707,5.0
2020-08-22 00:00:00+00:00,3,4,32,710,5.0
2020-08-24 00:00:00+00:00,5,5,35,715,6.0
2020-08-25 00:00:00+00:00,7,5,35,722,6.0
2020-08-26 00:00:00+00:00,7,5,36,729,6.0
2020-08-27 00:00:00+00:00,3,4,34,732,6.0
2020-08-28 00:00:00+00:00,2,4,32,734,5.0
2020-08-31 00:00:00+00:00,9,5,36,743,6.0
2020-09-01 00:00:00+00:00,12,6,45,755,7.0
2020-09-02 00:00:00+00:00,10,7,50,765,8.0
2020-09-03 00:00:00+00:00,7,7,50,772,8.0
2020-09-04 00:00:00+00:00,7,7,50,779,8.0
2020-09-07 00:00:00+00:00,10,8,57,789,9.0
2020-09-08 00:00:00+00:00,5,8,60,794,10.0
2020-09-09 00:00:00+00:00,5,8,56,799,9.0
2020-09-10 00:00:00+00:00,9,7,53,808,9.0
2020-09-11 00:00:00+00:00,5,6,48,813,8.0
2020-09-14 00:00:00+00:00,8,7,49,821,8.0
2020-09-15 00:00:00+00:00,3,6,45,824,7.0
2020-09-16 00:00:00+00:00,6,5,41,830,7.0
2020-09-17 00:00:00+00:00,4,5,40,834,7.0
2020-09-18 00:00:00+00:00,10,6,45,844,7.0
2020-09-19 00:00:00+00:00,5,5,41,849,7.0
2020-09-20 00:00:00+00:00,1,5,37,850,6.0
2020-09-21 00:00:00+00:00,6,5,35,856,6.0
2020-09-22 00:00:00+00:00,6,5,38,862,6.0
2020-09-23 00:00:00+00:00,10,6,42,872,7.0
2020-09-24 00:00:00+00:00,9,6,47,881,8.0
2020-09-25 00:00:00+00:00,7,6,44,888,7.0
2020-09-26 00:00:00+00:00,3,6,42,891,7.0
2020-09-28 00:00:00+00:00,3,6,44,894,7.0
2020-09-29 00:00:00+00:00,3,5,41,897,7.0
