STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       2932;19340101;-999;-999;-999;    1;   0.3;   8;    0.000;   0;   8.0;   6.0; 1010.90;    0.2;   97.00;    0.4;    0.0;   -0.6;eor
       2932;19340102;-999;-999;-999;    1;   0.0;   8;    0.000;   0;   8.0;   5.7; 1007.70;   -0.4;   96.00;    0.4;   -1.0;   -1.0;eor
       2932;19340103;-999;-999;-999;    1;   0.0;   8;    0.000;   0;   8.0;   5.2; 1003.80;   -0.9;   89.00;   -0.3;   -1.1;   -2.4;eor
       2932;19340104;-999;-999;-999;    1;   0.0;   0;    1.400;   0;   6.7;   4.8; 1002.40;   -0.8;   82.00;    0.7;   -1.4;   -3.4;eor
       2932;19340105;-999;-999;-999;    1;   7.9;   8;    0.000;   0;   7.0;   6.1;  998.10;    1.2;   92.00;    1.9;   -1.4;   -3.5;eor
       2932;19340106;-999;-999;-999;    1;   0.0;   0;    4.200;   0;   6.3;   6.1; 1012.90;    2.1;   86.00;    3.2;    1.1;   -3.3;eor
       2932;19340107;-999;-999;-999;    1;   0.2;   1;    0.500;   0;   5.3;   5.9; 1010.80;    1.8;   83.00;    3.5;    0.8;   -1.4;eor
       2932;19340108;-999;-999;-999;    1;   0.0;   7;    5.200;   0;   4.3;   4.5; 1004.60;    1.9;   65.00;    4.9;   -0.8;   -3.9;eor
       2932;19340109;-999;-999;-999;    1;   0.0;   0;    6.500;   0;   4.0;   5.3; 1011.70;   -0.2;   88.00;    1.8;   -1.4;   -4.5;eor
       2932;19340110;-999;-999;-999;    1;   0.0;   0;    1.900;   0;   6.0;   4.8; 1014.30;   -2.7;   92.00;    0.3;   -4.6;   -7.4;eor
       2932;19340111;-999;-999;-999;    1;   0.0;   0;    6.400;   0;   1.7;   3.7; 1004.90;   -2.9;   74.00;    0.6;   -5.5;   -8.0;eor
       2932;19340112;-999;-999;-999;    1;   6.2;   1;    1.600;   0;   5.3;   4.4;  992.60;    0.2;   73.00;    2.5;   -5.1;   -7.4;eor
       2932;19340113;-999;-999;-999;    1;   0.0;   1;    2.100;   0;   7.0;   6.8;  991.90;    3.8;   85.00;    5.5;    0.8;    0.0;eor
       2932;19340114;-999;-999;-999;    1;   0.4;   1;    0.000;   0;   4.3;   6.1;  987.40;    3.7;   78.00;    4.5;    1.8;   -0.8;eor
       2932;19340115;-999;-999;-999;    1;   0.3;   1;    0.400;   0;   7.7;   6.7;  981.50;    5.5;   74.00;    6.8;    3.3;    1.2;eor
       2932;19340116;-999;-999;-999;    1;   0.0;   0;    3.000;   0;   4.7;   6.0;  992.00;    3.2;   78.00;    5.4;    1.6;   -1.0;eor
       2932;19340117;-999;-999;-999;    1;   1.9;   8;    1.000;   0;   5.7;   6.1;  998.10;    3.5;   80.00;    4.5;    1.5;   -0.5;eor
       2932;19340118;-999;-999;-999;    1;   0.3;   1;    0.000;   0;   7.7;   9.5;  990.30;   10.3;   77.00;   12.3;    3.4;    1.9;eor
       2932;19340119;-999;-999;-999;    1;   1.6;   1;    2.500;   0;   5.3;   7.9;  991.10;    6.8;   73.00;   11.8;    3.6;    2.7;eor
       2932;19340120;-999;-999;-999;    1;   0.0;   1;    3.700;   0;   5.0;   5.9; 1009.40;    1.4;   84.00;    4.9;   -0.5;   -2.5;eor
       2932;19340121;-999;-999;-999;    1;   0.0;   0;    6.000;   0;   0.3;   4.9; 1023.50;   -1.5;   90.00;    0.7;   -4.7;   -9.9;eor
       2932;19340122;-999;-999;-999;    1;   0.0;   0;    7.200;   0;   0.0;   4.7; 1022.40;   -2.2;   88.00;    1.2;   -4.7;   -6.6;eor
       2932;19340123;-999;-999;-999;    1;   0.0;   0;    6.300;   0;   2.7;   4.4; 1021.60;   -2.8;   88.00;    0.8;   -6.0;   -9.2;eor
       2932;19340124;-999;-999;-999;    1;   0.0;   0;    3.400;   0;   2.7;   4.7; 1019.50;   -2.1;   90.00;    1.4;   -6.4;  -10.3;eor
       2932;19340125;-999;-999;-999;    1;   0.0;   0;    2.500;   0;   2.7;   4.4; 1014.80;   -3.1;   89.00;    0.0;   -7.0;   -8.3;eor
       2932;19340126;-999;-999;-999;    1;   0.0;   1;    5.600;   0;   4.7;   4.3; 1012.40;    1.8;   66.00;    4.6;   -5.4;   -8.4;eor
       2932;19340127;-999;-999;-999;    1;   1.1;   1;    2.400;   0;   6.7;   6.4; 1002.70;    3.2;   81.00;    6.5;    1.7;    0.8;eor
       2932;19340128;-999;-999;-999;    1;   1.4;   8;    0.000;   0;   8.0;   6.1; 1004.50;    0.5;   97.00;    2.0;   -0.2;   -1.6;eor
       2932;19340129;-999;-999;-999;    1;   0.0;   8;    0.000;   0;   8.0;   6.3; 1012.50;    0.7;   98.00;    1.5;    0.3;   -0.6;eor
