,Jahr,"Mauna Loa, Hawaii",Schauinsland,Zugspitze,Welttrend WMO
0,1957.5,,,,
1,1957.58333333333,,,,
2,1957.66666666667,315.7,,,
3,1957.75,317.45,,,
4,1957.83333333332,317.51,,,
5,1957.91666666665,317.24,,,
6,1957.99999999998,315.86,,,
7,1958.08333333331,314.93,,,
8,1958.16666666664,313.2,,,
9,1958.24999999997,312.43,,,
10,1958.3333333333,313.33,,,
11,1958.41666666663,314.67,,,
12,1959.0,315.58,,,
13,1958.58333333329,316.48,,,
14,1958.66666666662,316.65,,,
15,1958.74999999995,317.72,,,
16,1958.83333333328,318.29,,,
17,1958.91666666661,318.15,,,
18,1958.99999999994,316.54,,,
19,1959.08333333327,314.8,,,
20,1959.1666666666,313.84,,,
21,1959.24999999993,313.33,,,
22,1959.33333333326,314.81,,,
23,1959.41666666659,315.58,,,
24,1959.5,316.43,,,
25,1959.58333333333,316.98,,,
26,1959.66666666667,317.58,,,
27,1959.75,319.03,,,
28,1959.83333333333,320.04,,,
29,1959.91666666667,319.59,,,
30,1960.0,318.18,,,
31,1960.08333333333,315.9,,,
32,1960.16666666667,314.17,,,
33,1960.25,313.83,,,
34,1960.33333333333,315.0,,,
35,1960.41666666667,316.19,,,
36,1960.50000000007,316.89,,,
37,1960.58333333341,317.7,,,
38,1960.66666666675,318.54,,,
39,1960.75000000009,319.48,,,
40,1960.83333333343,320.58,,,
41,1960.91666666677,319.77,,,
42,1961.00000000011,318.57,,,
43,1961.08333333345,316.79,,,
44,1961.16666666679,314.99,,,
45,1961.25000000013,315.31,,,
46,1961.33333333347,316.1,,,
47,1961.41666666681,317.01,,,
48,1961.50000000015,317.94,,,
49,1961.58333333349,318.55,,,
50,1961.66666666683,319.68,,,
51,1961.75000000017,320.57,,,
52,1961.83333333351,321.02,,,
53,1961.91666666685,320.62,,,
54,1962.00000000019,319.61,,,
55,1962.08333333353,317.4,,,
56,1962.16666666687,316.25,,,
57,1962.25000000021,315.42,,,
58,1962.33333333355,316.69,,,
59,1962.41666666689,317.7,,,
60,1962.50000000022,318.74,,,
61,1962.58333333356,319.07,,,
62,1962.6666666669,319.86,,,
63,1962.75000000024,321.38,,,
64,1962.83333333358,322.25,,,
65,1962.91666666692,321.48,,,
66,1963.00000000026,319.74,,,
67,1963.0833333336,317.77,,,
68,1963.16666666694,316.21,,,
69,1963.25000000028,315.99,,,
70,1963.33333333362,317.07,,,
71,1963.41666666696,318.35,,,
72,1963.5000000003,319.57,,,
73,1963.58333333364,320.01,,,
74,1963.66666666698,320.74,,,
75,1963.75000000032,321.84,,,
76,1963.83333333366,322.26,,,
77,1963.916666667,321.89,,,
78,1964.00000000034,320.44,,,
79,1964.08333333368,318.69,,,
80,1964.16666666702,316.7,,,
81,1964.25000000036,316.87,,,
82,1964.3333333337,317.68,,,
83,1964.41666666704,318.71,,,
84,1964.50000000038,319.44,,,
85,1964.58333333372,320.44,,,
86,1964.66666666706,320.89,,,
87,1964.7500000004,322.14,,,
88,1964.83333333374,322.17,,,
89,1964.91666666708,321.87,,,
90,1965.00000000042,321.21,,,
91,1965.08333333376,318.87,,,
92,1965.1666666671,317.81,,,
93,1965.25000000044,317.3,,,
94,1965.33333333378,318.87,,,
95,1965.41666666712,319.42,,,
96,1965.50000000046,320.62,,,
97,1965.5833333338,321.6,,,
98,1965.66666666714,322.39,,,
99,1965.75000000048,323.7,,,
100,1965.83333333382,324.08,,,
101,1965.91666666716,323.75,,,
102,1966.0000000005,322.38,,,
103,1966.08333333384,320.36,,,
104,1966.16666666718,318.64,,,
105,1966.25000000052,318.1,,,
106,1966.33333333386,319.78,,,
107,1966.4166666672,321.03,,,
108,1966.50000000054,322.33,,,
109,1966.58333333388,322.5,,,
110,1966.66666666722,323.04,,,
111,1966.75000000056,324.42,,,
112,1966.8333333339,325.0,,,
113,1966.91666666724,324.09,,,
114,1967.00000000058,322.54,,,
115,1967.08333333392,320.92,,,
116,1967.16666666726,319.25,,,
117,1967.2500000006,319.39,,,
118,1967.33333333394,320.73,,,
119,1967.41666666728,321.96,,,
120,1967.5,322.57,,,
121,1967.5833333333333,323.15,,,
122,1967.6666666666667,323.89,,,
123,1967.75,325.02,,,
124,1967.8333333333333,325.57,,,
125,1967.9166666666667,325.36,,,
126,1968.0,324.14,,,
127,1968.0833333333333,322.11,,,
128,1968.1666666666667,320.33,,,
129,1968.25,320.25,,,
130,1968.3333333333333,321.32,,,
131,1968.4166666666667,322.89,,,
132,1968.5,324.0,,,
133,1968.5833333333333,324.42,,,
134,1968.6666666666667,325.63,,,
135,1968.75,326.66,,,
136,1968.8333333333333,327.38,,,
137,1968.9166666666667,326.71,,,
138,1969.0,325.88,,,
139,1969.0833333333333,323.66,,,
140,1969.1666666666667,322.38,,,
141,1969.25,321.78,,,
142,1969.3333333333333,322.86,,,
143,1969.4166666666667,324.12,,,
144,1969.5,325.06,,,
145,1969.5833333333333,325.98,,,
146,1969.6666666666667,326.93,,,
147,1969.75,328.13,,,
148,1969.8333333333333,328.08,,,
149,1969.9166666666667,327.67,,,
150,1970.0,326.34,,,
151,1970.0833333333333,324.69,,,
152,1970.1666666666667,323.1,,,
153,1970.25,323.06,,,
154,1970.3333333333333,324.01,,,
155,1970.4166666666667,325.13,,,
156,1970.5,326.17,,,
157,1970.5833333333333,326.68,,,
158,1970.6666666666667,327.17,,,
159,1970.75,327.79,,,
160,1970.8333333333333,328.93,,,
161,1970.9166666666667,328.57,,,
162,1971.0,327.36,,,
163,1971.0833333333333,325.43,,,
164,1971.1666666666667,323.36,,,
165,1971.25,323.56,,,
166,1971.3333333333333,324.8,,,
167,1971.4166666666667,326.01,,,
168,1971.5,326.77,335.33,,
169,1971.5833333333333,327.63,339.1,,
170,1971.6666666666667,327.75,337.12,,
171,1971.75,329.72,334.96,,
172,1971.8333333333333,330.07,329.51,,
173,1971.9166666666667,329.09,325.55,,
174,1972.0,328.04,328.09,,
175,1972.0833333333333,326.32,322.23,,
176,1972.1666666666667,324.84,321.85,,
177,1972.25,325.2,329.18,,
178,1972.3333333333333,326.5,328.78,,
179,1972.4166666666667,327.55,331.39,,
180,1972.5,328.55,334.66,,
181,1972.5833333333333,329.56,335.34,,
182,1972.6666666666667,330.3,335.56,,
183,1972.75,331.5,335.47,,
184,1972.8333333333333,332.48,328.96,,
185,1972.9166666666667,332.07,324.92,,
186,1973.0,330.87,323.03,,
187,1973.0833333333333,329.31,324.5,,
188,1973.1666666666667,327.51,326.05,,
189,1973.25,327.18,331.08,,
190,1973.3333333333333,328.16,333.16,,
191,1973.4166666666667,328.64,335.32,,
192,1973.5,329.35,333.94,,
193,1973.5833333333333,330.71,340.77,,
194,1973.6666666666667,331.48,340.09,,
