Meldedatum,Bundesland,Neue Fallzahlen
2020-01-02 00:00:00+00:00,Nordrhein-Westfalen,1
2020-01-23 00:00:00+00:00,Baden-Württemberg,1
2020-01-23 00:00:00+00:00,Saarland,1
2020-01-28 00:00:00+00:00,Bayern,2
2020-01-29 00:00:00+00:00,Bayern,2
2020-01-31 00:00:00+00:00,Bayern,3
2020-01-31 00:00:00+00:00,Saarland,1
2020-02-01 00:00:00+00:00,Bayern,1
2020-02-03 00:00:00+00:00,Bayern,1
2020-02-04 00:00:00+00:00,Bayern,3
2020-02-04 00:00:00+00:00,Niedersachsen,1
2020-02-06 00:00:00+00:00,Bayern,1
2020-02-07 00:00:00+00:00,Bayern,1
2020-02-11 00:00:00+00:00,Bayern,2
2020-02-17 00:00:00+00:00,Brandenburg,1
2020-02-18 00:00:00+00:00,Brandenburg,1
2020-02-20 00:00:00+00:00,Bayern,1
2020-02-20 00:00:00+00:00,Nordrhein-Westfalen,1
2020-02-24 00:00:00+00:00,Baden-Württemberg,1
2020-02-25 00:00:00+00:00,Baden-Württemberg,2
2020-02-25 00:00:00+00:00,Brandenburg,1
2020-02-26 00:00:00+00:00,Baden-Württemberg,4
2020-02-26 00:00:00+00:00,Nordrhein-Westfalen,3
2020-02-27 00:00:00+00:00,Baden-Württemberg,3
2020-02-27 00:00:00+00:00,Bayern,1
2020-02-27 00:00:00+00:00,Nordrhein-Westfalen,18
2020-02-27 00:00:00+00:00,Saarland,1
2020-02-28 00:00:00+00:00,Baden-Württemberg,7
2020-02-28 00:00:00+00:00,Bayern,2
2020-02-28 00:00:00+00:00,Hessen,1
2020-02-28 00:00:00+00:00,Nordrhein-Westfalen,34
2020-02-28 00:00:00+00:00,Rheinland-Pfalz,1
2020-02-28 00:00:00+00:00,Saarland,1
2020-02-28 00:00:00+00:00,Schleswig-Holstein,1
2020-02-29 00:00:00+00:00,Baden-Württemberg,2
2020-02-29 00:00:00+00:00,Bayern,2
2020-02-29 00:00:00+00:00,Berlin,1
2020-02-29 00:00:00+00:00,Hamburg,1
2020-02-29 00:00:00+00:00,Nordrhein-Westfalen,15
2020-02-29 00:00:00+00:00,Rheinland-Pfalz,1
2020-02-29 00:00:00+00:00,Schleswig-Holstein,1
2020-03-01 00:00:00+00:00,Baden-Württemberg,1
2020-03-01 00:00:00+00:00,Bayern,4
2020-03-01 00:00:00+00:00,Brandenburg,1
2020-03-01 00:00:00+00:00,Bremen,1
2020-03-01 00:00:00+00:00,Hamburg,1
2020-03-01 00:00:00+00:00,Hessen,3
2020-03-01 00:00:00+00:00,Niedersachsen,1
2020-03-01 00:00:00+00:00,Nordrhein-Westfalen,23
2020-03-02 00:00:00+00:00,Baden-Württemberg,9
2020-03-02 00:00:00+00:00,Bayern,6
2020-03-02 00:00:00+00:00,Bremen,1
2020-03-02 00:00:00+00:00,Hessen,4
2020-03-02 00:00:00+00:00,Niedersachsen,2
2020-03-02 00:00:00+00:00,Nordrhein-Westfalen,15
2020-03-02 00:00:00+00:00,Sachsen,1
2020-03-02 00:00:00+00:00,Schleswig-Holstein,2
2020-03-02 00:00:00+00:00,Thüringen,1
2020-03-03 00:00:00+00:00,Baden-Württemberg,24
2020-03-03 00:00:00+00:00,Bayern,6
2020-03-03 00:00:00+00:00,Berlin,6
2020-03-03 00:00:00+00:00,Bremen,2
2020-03-03 00:00:00+00:00,Hamburg,3
2020-03-03 00:00:00+00:00,Hessen,4
2020-03-03 00:00:00+00:00,Mecklenburg-Vorpommern,2
2020-03-03 00:00:00+00:00,Niedersachsen,6
2020-03-03 00:00:00+00:00,Nordrhein-Westfalen,29
2020-03-03 00:00:00+00:00,Rheinland-Pfalz,1
2020-03-03 00:00:00+00:00,Schleswig-Holstein,1
2020-03-04 00:00:00+00:00,Baden-Württemberg,38
2020-03-04 00:00:00+00:00,Bayern,10
2020-03-04 00:00:00+00:00,Berlin,3
2020-03-04 00:00:00+00:00,Hamburg,1
2020-03-04 00:00:00+00:00,Hessen,2
2020-03-04 00:00:00+00:00,Mecklenburg-Vorpommern,2
2020-03-04 00:00:00+00:00,Niedersachsen,4
2020-03-04 00:00:00+00:00,Nordrhein-Westfalen,93
2020-03-04 00:00:00+00:00,Rheinland-Pfalz,4
2020-03-05 00:00:00+00:00,Baden-Württemberg,36
2020-03-05 00:00:00+00:00,Bayern,19
2020-03-05 00:00:00+00:00,Berlin,10
2020-03-05 00:00:00+00:00,Brandenburg,2
2020-03-05 00:00:00+00:00,Hamburg,5
2020-03-05 00:00:00+00:00,Hessen,6
2020-03-05 00:00:00+00:00,Mecklenburg-Vorpommern,1
2020-03-05 00:00:00+00:00,Niedersachsen,6
2020-03-05 00:00:00+00:00,Nordrhein-Westfalen,99
2020-03-05 00:00:00+00:00,Rheinland-Pfalz,1
2020-03-05 00:00:00+00:00,Schleswig-Holstein,1
2020-03-06 00:00:00+00:00,Baden-Württemberg,51
2020-03-06 00:00:00+00:00,Bayern,51
2020-03-06 00:00:00+00:00,Berlin,5
2020-03-06 00:00:00+00:00,Hamburg,3
2020-03-06 00:00:00+00:00,Hessen,1
2020-03-06 00:00:00+00:00,Niedersachsen,7
2020-03-06 00:00:00+00:00,Nordrhein-Westfalen,62
2020-03-06 00:00:00+00:00,Rheinland-Pfalz,2
2020-03-06 00:00:00+00:00,Sachsen,2
2020-03-06 00:00:00+00:00,Schleswig-Holstein,2
2020-03-07 00:00:00+00:00,Baden-Württemberg,32
2020-03-07 00:00:00+00:00,Bayern,20
2020-03-07 00:00:00+00:00,Berlin,1
2020-03-07 00:00:00+00:00,Hamburg,4
2020-03-07 00:00:00+00:00,Hessen,4
2020-03-07 00:00:00+00:00,Niedersachsen,8
2020-03-07 00:00:00+00:00,Nordrhein-Westfalen,68
2020-03-07 00:00:00+00:00,Rheinland-Pfalz,2
2020-03-07 00:00:00+00:00,Sachsen,2
2020-03-07 00:00:00+00:00,Thüringen,1
2020-03-08 00:00:00+00:00,Baden-Württemberg,18
2020-03-08 00:00:00+00:00,Bayern,20
2020-03-08 00:00:00+00:00,Berlin,11
2020-03-08 00:00:00+00:00,Brandenburg,4
2020-03-08 00:00:00+00:00,Hamburg,5
2020-03-08 00:00:00+00:00,Mecklenburg-Vorpommern,2
2020-03-08 00:00:00+00:00,Niedersachsen,4
2020-03-08 00:00:00+00:00,Nordrhein-Westfalen,28
2020-03-08 00:00:00+00:00,Rheinland-Pfalz,3
2020-03-08 00:00:00+00:00,Saarland,1
2020-03-08 00:00:00+00:00,Sachsen,5
2020-03-08 00:00:00+00:00,Schleswig-Holstein,1
2020-03-09 00:00:00+00:00,Baden-Württemberg,51
2020-03-09 00:00:00+00:00,Bayern,87
2020-03-09 00:00:00+00:00,Berlin,21
2020-03-09 00:00:00+00:00,Brandenburg,4
