Meldedatum,Neue Fallzahlen,Neue Fallzahlen Mittelwert (7 Tage),Faelle gesamt
2020-01-02 00:00:00+00:00,1,0,1
2020-01-23 00:00:00+00:00,2,0,3
2020-01-28 00:00:00+00:00,2,0,5
2020-01-29 00:00:00+00:00,2,0,7
2020-01-31 00:00:00+00:00,4,0,11
2020-02-01 00:00:00+00:00,1,0,12
2020-02-03 00:00:00+00:00,1,1,13
2020-02-04 00:00:00+00:00,4,2,17
2020-02-06 00:00:00+00:00,1,2,18
2020-02-07 00:00:00+00:00,1,2,19
2020-02-11 00:00:00+00:00,2,2,21
2020-02-17 00:00:00+00:00,1,1,22
2020-02-18 00:00:00+00:00,1,1,23
2020-02-20 00:00:00+00:00,2,1,25
2020-02-24 00:00:00+00:00,1,1,26
2020-02-25 00:00:00+00:00,3,1,29
2020-02-26 00:00:00+00:00,7,2,36
2020-02-27 00:00:00+00:00,23,5,59
2020-02-28 00:00:00+00:00,47,12,106
2020-02-29 00:00:00+00:00,23,15,129
2020-03-01 00:00:00+00:00,35,19,164
2020-03-02 00:00:00+00:00,41,25,205
2020-03-03 00:00:00+00:00,84,37,289
2020-03-04 00:00:00+00:00,157,58,446
2020-03-05 00:00:00+00:00,186,81,632
2020-03-06 00:00:00+00:00,186,101,818
2020-03-07 00:00:00+00:00,142,118,960
2020-03-08 00:00:00+00:00,102,128,1062
2020-03-09 00:00:00+00:00,345,171,1407
2020-03-10 00:00:00+00:00,596,244,2003
2020-03-11 00:00:00+00:00,755,330,2758
2020-03-12 00:00:00+00:00,992,445,3750
2020-03-13 00:00:00+00:00,1456,626,5206
2020-03-14 00:00:00+00:00,1304,792,6510
2020-03-15 00:00:00+00:00,979,918,7489
2020-03-16 00:00:00+00:00,2040,1160,9529
2020-03-17 00:00:00+00:00,3027,1507,12556
2020-03-18 00:00:00+00:00,3603,1914,16159
2020-03-19 00:00:00+00:00,4058,2352,20217
2020-03-20 00:00:00+00:00,4049,2722,24266
2020-03-21 00:00:00+00:00,3355,3015,27621
2020-03-22 00:00:00+00:00,2263,3199,29884
2020-03-23 00:00:00+00:00,3730,3440,33614
2020-03-24 00:00:00+00:00,4882,3705,38496
2020-03-25 00:00:00+00:00,5678,4002,44174
2020-03-26 00:00:00+00:00,5904,4265,50078
2020-03-27 00:00:00+00:00,5977,4541,56055
2020-03-28 00:00:00+00:00,4724,4736,60779
2020-03-29 00:00:00+00:00,3076,4853,63855
2020-03-30 00:00:00+00:00,4114,4907,67969
2020-03-31 00:00:00+00:00,6058,5075,74027
2020-04-01 00:00:00+00:00,6253,5158,80280
2020-04-02 00:00:00+00:00,6552,5250,86832
2020-04-03 00:00:00+00:00,6180,5279,93012
2020-04-04 00:00:00+00:00,4341,5224,97353
2020-04-05 00:00:00+00:00,2549,5149,99902
2020-04-06 00:00:00+00:00,3660,5084,103562
2020-04-07 00:00:00+00:00,5193,4961,108755
2020-04-08 00:00:00+00:00,5278,4821,114033
2020-04-09 00:00:00+00:00,4905,4586,118938
2020-04-10 00:00:00+00:00,3356,4183,122294
2020-04-11 00:00:00+00:00,2886,3975,125180
2020-04-12 00:00:00+00:00,1863,3877,127043
2020-04-13 00:00:00+00:00,1599,3582,128642
2020-04-14 00:00:00+00:00,2465,3193,131107
2020-04-15 00:00:00+00:00,3324,2914,134431
2020-04-16 00:00:00+00:00,3418,2701,137849
2020-04-17 00:00:00+00:00,3046,2657,140895
2020-04-18 00:00:00+00:00,2106,2545,143001
2020-04-19 00:00:00+00:00,1375,2476,144376
2020-04-20 00:00:00+00:00,1715,2492,146091
2020-04-21 00:00:00+00:00,2183,2452,148274
2020-04-22 00:00:00+00:00,2490,2333,150764
2020-04-23 00:00:00+00:00,2089,2143,152853
2020-04-24 00:00:00+00:00,1903,1980,154756
2020-04-25 00:00:00+00:00,1273,1861,156029
2020-04-26 00:00:00+00:00,703,1765,156732
2020-04-27 00:00:00+00:00,1116,1679,157848
2020-04-28 00:00:00+00:00,1467,1577,159315
2020-04-29 00:00:00+00:00,1430,1425,160745
2020-04-30 00:00:00+00:00,1460,1336,162205
2020-05-01 00:00:00+00:00,918,1195,163123
2020-05-02 00:00:00+00:00,620,1102,163743
2020-05-03 00:00:00+00:00,425,1062,164168
2020-05-04 00:00:00+00:00,729,1007,164897
2020-05-05 00:00:00+00:00,1091,953,165988
2020-05-06 00:00:00+00:00,1221,923,167209
2020-05-07 00:00:00+00:00,1198,886,168407
2020-05-08 00:00:00+00:00,979,894,169386
2020-05-09 00:00:00+00:00,677,902,170063
2020-05-10 00:00:00+00:00,344,891,170407
2020-05-11 00:00:00+00:00,687,885,171094
2020-05-12 00:00:00+00:00,854,851,171948
2020-05-13 00:00:00+00:00,912,807,172860
2020-05-14 00:00:00+00:00,809,751,173669
2020-05-15 00:00:00+00:00,727,715,174396
2020-05-16 00:00:00+00:00,458,684,174854
2020-05-17 00:00:00+00:00,316,680,175170
2020-05-18 00:00:00+00:00,543,659,175713
2020-05-19 00:00:00+00:00,730,642,176443
2020-05-20 00:00:00+00:00,828,630,177271
2020-05-21 00:00:00+00:00,418,574,177689
2020-05-22 00:00:00+00:00,525,545,178214
2020-05-23 00:00:00+00:00,337,528,178551
2020-05-24 00:00:00+00:00,218,514,178769
2020-05-25 00:00:00+00:00,412,495,179181
2020-05-26 00:00:00+00:00,617,479,179798
2020-05-27 00:00:00+00:00,648,453,180446
2020-05-28 00:00:00+00:00,529,469,180975
2020-05-29 00:00:00+00:00,446,458,181421
2020-05-30 00:00:00+00:00,374,463,181795
2020-05-31 00:00:00+00:00,179,457,181974
2020-06-01 00:00:00+00:00,137,418,182111
2020-06-02 00:00:00+00:00,304,373,182415
2020-06-03 00:00:00+00:00,496,352,182911
2020-06-04 00:00:00+00:00,528,352,183439
2020-06-05 00:00:00+00:00,437,350,183876
2020-06-06 00:00:00+00:00,285,338,184161
2020-06-07 00:00:00+00:00,164,335,184325
2020-06-08 00:00:00+00:00,295,358,184620
2020-06-09 00:00:00+00:00,426,375,185046
2020-06-10 00:00:00+00:00,518,379,185564
2020-06-11 00:00:00+00:00,280,343,185844
2020-06-12 00:00:00+00:00,352,331,186196
2020-06-13 00:00:00+00:00,299,333,186495
2020-06-14 00:00:00+00:00,172,334,186667
2020-06-15 00:00:00+00:00,260,329,186927
2020-06-16 00:00:00+00:00,543,346,187470
2020-06-17 00:00:00+00:00,983,412,188453
2020-06-18 00:00:00+00:00,633,463,189086
2020-06-19 00:00:00+00:00,951,548,190037
2020-06-20 00:00:00+00:00,558,585,190595
2020-06-21 00:00:00+00:00,254,597,190849
