Meldedatum,Neue Fallzahlen,Neue Fallzahlen Mittelwert (7 Tage),Neue Fallzahlen Summe (7 Tage),Faelle gesamt,7 Tage Indizdenz
2020-03-06 00:00:00+00:00,1,0,0,1,0.0
2020-03-08 00:00:00+00:00,1,0,0,2,0.0
2020-03-10 00:00:00+00:00,2,0,0,4,0.0
2020-03-11 00:00:00+00:00,2,0,0,6,0.0
2020-03-12 00:00:00+00:00,10,0,0,16,0.0
2020-03-13 00:00:00+00:00,3,0,0,19,0.0
2020-03-14 00:00:00+00:00,12,4,31,31,5.0
2020-03-15 00:00:00+00:00,10,5,40,41,7.0
2020-03-16 00:00:00+00:00,13,7,52,54,9.0
2020-03-17 00:00:00+00:00,19,9,69,73,11.0
2020-03-18 00:00:00+00:00,17,12,84,90,14.0
2020-03-19 00:00:00+00:00,19,13,93,109,15.0
2020-03-20 00:00:00+00:00,20,15,110,129,18.0
2020-03-21 00:00:00+00:00,11,15,109,140,18.0
2020-03-22 00:00:00+00:00,14,16,113,154,19.0
2020-03-23 00:00:00+00:00,19,17,119,173,20.0
2020-03-24 00:00:00+00:00,16,16,116,189,19.0
2020-03-25 00:00:00+00:00,29,18,128,218,21.0
2020-03-26 00:00:00+00:00,22,18,131,240,22.0
2020-03-27 00:00:00+00:00,19,18,130,259,21.0
2020-03-28 00:00:00+00:00,17,19,136,276,22.0
2020-03-29 00:00:00+00:00,12,19,134,288,22.0
2020-03-30 00:00:00+00:00,21,19,136,309,22.0
2020-03-31 00:00:00+00:00,19,19,139,328,23.0
2020-04-01 00:00:00+00:00,17,18,127,345,21.0
2020-04-02 00:00:00+00:00,17,17,122,362,20.0
2020-04-03 00:00:00+00:00,30,19,133,392,22.0
2020-04-04 00:00:00+00:00,17,19,133,409,22.0
2020-04-05 00:00:00+00:00,10,18,131,419,22.0
2020-04-06 00:00:00+00:00,6,16,116,425,19.0
2020-04-07 00:00:00+00:00,11,15,108,436,18.0
2020-04-08 00:00:00+00:00,6,13,97,442,16.0
2020-04-09 00:00:00+00:00,10,12,90,452,15.0
2020-04-10 00:00:00+00:00,11,10,71,463,12.0
2020-04-11 00:00:00+00:00,7,8,61,470,10.0
2020-04-12 00:00:00+00:00,7,8,58,477,10.0
2020-04-13 00:00:00+00:00,3,7,55,480,9.0
2020-04-14 00:00:00+00:00,4,6,48,484,8.0
2020-04-15 00:00:00+00:00,4,6,46,488,8.0
2020-04-16 00:00:00+00:00,17,7,53,505,9.0
2020-04-17 00:00:00+00:00,4,6,46,509,8.0
2020-04-18 00:00:00+00:00,4,6,43,513,7.0
2020-04-19 00:00:00+00:00,5,5,41,518,7.0
2020-04-20 00:00:00+00:00,2,5,40,520,7.0
2020-04-21 00:00:00+00:00,3,5,39,523,6.0
2020-04-22 00:00:00+00:00,5,5,40,528,7.0
2020-04-23 00:00:00+00:00,3,3,26,531,4.0
2020-04-24 00:00:00+00:00,4,3,26,535,4.0
2020-04-25 00:00:00+00:00,7,4,29,542,5.0
2020-04-27 00:00:00+00:00,6,4,30,548,5.0
2020-04-28 00:00:00+00:00,8,5,36,556,6.0
2020-04-29 00:00:00+00:00,3,5,36,559,6.0
2020-04-30 00:00:00+00:00,2,4,33,561,5.0
2020-05-01 00:00:00+00:00,3,4,33,564,5.0
2020-05-02 00:00:00+00:00,2,4,31,566,5.0
2020-05-05 00:00:00+00:00,2,3,26,568,4.0
2020-05-06 00:00:00+00:00,4,3,24,572,4.0
2020-05-07 00:00:00+00:00,4,2,20,576,3.0
2020-05-08 00:00:00+00:00,4,3,21,580,3.0
2020-05-09 00:00:00+00:00,1,2,20,581,3.0
2020-05-10 00:00:00+00:00,1,2,18,582,3.0
2020-05-11 00:00:00+00:00,2,2,18,584,3.0
2020-05-12 00:00:00+00:00,1,2,17,585,3.0
2020-05-13 00:00:00+00:00,2,2,15,587,2.0
2020-05-14 00:00:00+00:00,3,2,14,590,2.0
2020-05-15 00:00:00+00:00,1,1,11,591,2.0
2020-05-26 00:00:00+00:00,1,1,11,592,2.0
2020-05-29 00:00:00+00:00,1,1,11,593,2.0
2020-06-02 00:00:00+00:00,1,1,10,594,2.0
2020-06-16 00:00:00+00:00,1,1,10,595,2.0
2020-06-17 00:00:00+00:00,2,1,10,597,2.0
2020-06-18 00:00:00+00:00,4,1,11,601,2.0
2020-06-19 00:00:00+00:00,5,2,15,606,2.0
2020-06-22 00:00:00+00:00,4,2,18,610,3.0
2020-06-23 00:00:00+00:00,2,2,19,612,3.0
2020-06-29 00:00:00+00:00,3,3,21,615,3.0
2020-06-30 00:00:00+00:00,3,3,23,618,4.0
2020-07-01 00:00:00+00:00,1,3,22,619,4.0
2020-07-02 00:00:00+00:00,1,2,19,620,3.0
2020-07-03 00:00:00+00:00,1,2,15,621,2.0
2020-07-06 00:00:00+00:00,4,2,15,625,2.0
2020-07-07 00:00:00+00:00,1,2,14,626,2.0
2020-07-09 00:00:00+00:00,3,2,14,629,2.0
2020-07-15 00:00:00+00:00,1,1,12,630,2.0
2020-07-16 00:00:00+00:00,1,1,12,631,2.0
2020-07-17 00:00:00+00:00,1,1,12,632,2.0
2020-07-20 00:00:00+00:00,9,2,20,641,3.0
2020-07-22 00:00:00+00:00,1,2,17,642,3.0
2020-07-23 00:00:00+00:00,4,2,20,646,3.0
2020-07-27 00:00:00+00:00,3,2,20,649,3.0
2020-08-03 00:00:00+00:00,5,3,24,654,4.0
2020-08-05 00:00:00+00:00,4,3,27,658,4.0
2020-08-06 00:00:00+00:00,4,4,30,662,5.0
2020-08-07 00:00:00+00:00,3,3,24,665,4.0
2020-08-10 00:00:00+00:00,3,3,26,668,4.0
2020-08-11 00:00:00+00:00,2,3,24,670,4.0
2020-08-12 00:00:00+00:00,3,3,24,673,4.0
2020-08-13 00:00:00+00:00,4,3,23,677,4.0
2020-08-14 00:00:00+00:00,2,3,21,679,3.0
2020-08-17 00:00:00+00:00,7,3,24,686,4.0
2020-08-18 00:00:00+00:00,6,3,27,692,4.0
2020-08-19 00:00:00+00:00,5,4,29,697,5.0
2020-08-20 00:00:00+00:00,4,4,31,701,5.0
2020-08-21 00:00:00+00:00,5,4,33,706,5.0
2020-08-22 00:00:00+00:00,3,4,32,709,5.0
2020-08-24 00:00:00+00:00,5,5,35,714,6.0
2020-08-25 00:00:00+00:00,7,5,35,721,6.0
2020-08-26 00:00:00+00:00,7,5,36,728,6.0
2020-08-27 00:00:00+00:00,3,4,34,731,6.0
2020-08-28 00:00:00+00:00,2,4,32,733,5.0
2020-08-31 00:00:00+00:00,9,5,36,742,6.0
2020-09-01 00:00:00+00:00,12,6,45,754,7.0
2020-09-02 00:00:00+00:00,10,7,50,764,8.0
2020-09-03 00:00:00+00:00,7,7,50,771,8.0
2020-09-04 00:00:00+00:00,7,7,50,778,8.0
2020-09-07 00:00:00+00:00,10,8,57,788,9.0
2020-09-08 00:00:00+00:00,5,8,60,793,10.0
2020-09-09 00:00:00+00:00,5,8,56,798,9.0
2020-09-10 00:00:00+00:00,9,7,53,807,9.0
2020-09-11 00:00:00+00:00,5,6,48,812,8.0
2020-09-14 00:00:00+00:00,8,7,49,820,8.0
2020-09-15 00:00:00+00:00,3,6,45,823,7.0
2020-09-16 00:00:00+00:00,6,5,41,829,7.0
2020-09-17 00:00:00+00:00,4,5,40,833,7.0
2020-09-18 00:00:00+00:00,10,6,45,843,7.0
2020-09-19 00:00:00+00:00,5,5,41,848,7.0
2020-09-20 00:00:00+00:00,1,5,37,849,6.0
2020-09-21 00:00:00+00:00,6,5,35,855,6.0
2020-09-22 00:00:00+00:00,6,5,38,861,6.0
2020-09-23 00:00:00+00:00,10,6,42,871,7.0
2020-09-24 00:00:00+00:00,9,6,47,880,8.0
2020-09-25 00:00:00+00:00,7,6,44,887,7.0
2020-09-26 00:00:00+00:00,3,6,42,890,7.0
2020-09-28 00:00:00+00:00,3,6,44,893,7.0
2020-09-29 00:00:00+00:00,3,5,41,896,7.0
