,Jahr,"CO2-eq
(ppm)"
0,1979,382
1,1980,385
2,1981,388
3,1982,391
4,1983,394
5,1984,397
6,1985,399
7,1986,403
8,1987,406
9,1988,410
10,1989,414
11,1990,417
12,1991,419
13,1992,421
14,1993,422
15,1994,425
16,1995,427
17,1996,430
18,1997,432
19,1998,436
20,1999,439
21,2000,441
22,2001,443
23,2002,446
24,2003,449
25,2004,452
26,2005,454
27,2006,457
28,2007,460
29,2008,463
30,2009,465
31,2010,468
32,2011,471
33,2012,474
34,2013,478
35,2014,481
36,2015,485
37,2016,490
38,2017,493
39,2018,496
40,2019,500
