Jahr,Jahresmitteltemperatur [°C]
1880.0,
1881.0,7.3352
1882.0,8.3661
1883.0,7.9099
1884.0,8.5892
1885.0,7.7726
1886.0,8.0397
1887.0,6.9745
1888.0,6.8753
1889.0,7.4037
1890.0,7.3318
1891.0,7.4463
1892.0,7.5188
1893.0,7.9193
1894.0,8.1495
1895.0,7.3304
1896.0,7.5988
1897.0,7.9569
1898.0,8.5261
1899.0,8.1046
1900.0,8.3679
1901.0,7.6658
1902.0,7.1959
1903.0,8.3747
1904.0,8.3742
1905.0,7.9752
1906.0,8.3098
1907.0,7.8265
1908.0,7.4973
1909.0,7.3716
1910.0,8.4283
1911.0,9.0655
1912.0,7.8743
1913.0,8.5486
1914.0,8.5407
1915.0,7.9342
1916.0,8.4714
1917.0,7.5608
1918.0,8.5527
1919.0,7.3367
1920.0,8.6471
1921.0,9.0178
1922.0,7.2077
1923.0,8.0028
1924.0,7.5416
1925.0,8.3368
1926.0,8.7544
1927.0,8.0521
1928.0,8.3575
1929.0,7.378
1930.0,8.7668
1931.0,7.5613
1932.0,8.3468
1933.0,7.6344
1934.0,9.5593
1935.0,8.4436
1936.0,8.3948
1937.0,8.5984
1938.0,8.6087
1939.0,8.3174
1940.0,6.6403
1941.0,7.1721
1942.0,7.3005
1943.0,8.9003
1944.0,8.314
1945.0,8.9875
1946.0,8.407
1947.0,8.5319
1948.0,9.0715
1949.0,9.1619
1950.0,8.6185
1951.0,8.7356
1952.0,7.9543
1953.0,8.9446
1954.0,7.7043
1955.0,7.5506
1956.0,6.846
1957.0,8.5933
1958.0,8.2213
1959.0,9.0328
1960.0,8.408
1961.0,8.9509
1962.0,7.1547
1963.0,7.11
1964.0,8.1382
1965.0,7.4856
1966.0,8.5141
1967.0,8.8942
1968.0,8.1501
1969.0,7.7593
1970.0,7.717
1971.0,8.4301
1972.0,7.8186
1973.0,8.2173
1974.0,8.8257
1975.0,8.9265
1976.0,8.4658
1977.0,8.67
1978.0,7.7889
1979.0,7.7192
1980.0,7.6288
1981.0,8.1955
1982.0,8.8985
1983.0,9.0463
1984.0,7.973
1985.0,7.4231
1986.0,7.9277
1987.0,7.4432
1988.0,9.0666
1989.0,9.4756
1990.0,9.49
1991.0,8.3525
1992.0,9.3789
1993.0,8.4728
1994.0,9.7048
1995.0,8.8997
1996.0,7.2052
1997.0,8.8901
1998.0,9.0673
1999.0,9.4935
2000.0,9.8733
2001.0,9.0199
2002.0,9.5589
2003.0,9.3783
2004.0,8.944
2005.0,8.9914
2006.0,9.5514
2007.0,9.86
2008.0,9.4858
2009.0,9.1847
2010.0,7.8535
2011.0,9.634991666666666
2012.0,9.09
2013.0,8.71
2014.0,10.3
2015.0,9.9
2016.0,9.5
2017.0,9.6
2018.0,10.5
2019.0,10.3
2020.0,10.4
,8.381784940476187
,8.243483333333334
,8.558949999999998
,8.870183333333332
,9.30336638888889
,7.775829999999997
